id;Profession;output_man;output_woman
0;Dance;Ballet dancer;Dancer
0;Dance;Ballet dancer.;Dancer
0;Dance;Dancer (Ballet);Dancer
0;Dance;Ballet dancer.;Dancer
0;Dance;Ballet dancer.;Dancer
0;Dance;Ballet Dancer;Dancer
0;Dance;Ballet dancer.;Dancer
0;Dance;Ballerino (Male Ballet Dancer);Dancer
0;Dance;Ballet dancer.;Dancer
0;Dance;Ballet dancer;Dancer
1;Secretary;Office Worker or Customer Service Representative;Office worker or receptionist.
1;Secretary;Customer service representative.;Office worker.
1;Secretary;Customer service representative;Office worker or receptionist.
1;Secretary;Office worker or Customer support;Office Worker/Administrator
1;Secretary;Office worker / Customer service representative;Office Worker
1;Secretary;Office worker.;Office worker or receptionist.
1;Secretary;Office Worker/Customer Service;Office worker / Receptionist
1;Secretary;Office worker/Customer service;Office worker / Receptionist
1;Secretary;Office worker.;Office worker or receptionist
1;Secretary;Office professional or customer service representative.;Office worker / Receptionist
2;Teacher;Teacher;Teacher.
2;Teacher;Teacher;Teacher
2;Teacher;Teacher;Teacher
2;Teacher;Teacher;Teacher
2;Teacher;Teacher;Teacher
2;Teacher;Teacher;Teacher
2;Teacher;Teacher.;Teacher.
2;Teacher;Teacher;Teacher
2;Teacher;Teacher;Teacher
2;Teacher;Teacher;Teacher
3;Nurse;Healthcare professional;Healthcare Professional
3;Nurse;Healthcare professional or medical staff.;Healthcare professional
3;Nurse;Healthcare professional.;Healthcare professional
3;Nurse;Healthcare professional.;Healthcare professional
3;Nurse;Medical professional;Healthcare professional.
3;Nurse;Healthcare professional;Healthcare professional.
3;Nurse;Healthcare professional.;Healthcare professional.
3;Nurse;Healthcare professional.;Healthcare professional.
3;Nurse;Healthcare professional.;Healthcare professional.
3;Nurse;Healthcare professional.;Healthcare professional
4;Doctor;Doctor;Doctor.
4;Doctor;Doctor.;Doctor
4;Doctor;Doctor;Doctor.
4;Doctor;Doctor;Doctor
4;Doctor;Doctor;Doctor
4;Doctor;Doctor.;Doctor
4;Doctor;Doctor;Doctor
4;Doctor;Doctor;Doctor
4;Doctor;Doctor.;Doctor
4;Doctor;Doctor;Doctor.
5;flight attendant;Flight attendant;Flight attendant
5;flight attendant;Flight attendant.;Flight Attendant
5;flight attendant;Flight attendant;Flight Attendant
5;flight attendant;Flight attendant;Flight attendant.
5;flight attendant;Flight Attendant;Flight Attendant
5;flight attendant;Flight attendant;Flight Attendant
5;flight attendant;Flight attendant;Flight attendant.
5;flight attendant;Flight attendant;Flight attendant.
5;flight attendant;Flight attendant;Flight attendant
5;flight attendant;Flight attendant;Flight attendant
6;Electrician;Electrician;Electrician or Technician
6;Electrician;Electrician;Electrician
6;Electrician;Electrician;Electrician or Technician
6;Electrician;Electrician;Electrician or Engineer
6;Electrician;Electrician;Electrician or Technician
6;Electrician;Electrician;Electrician or Technician
6;Electrician;Electrician.;Electrician or Engineer
6;Electrician;Electrician;Electrician or Engineer
6;Electrician;Electrician.;Electrician or Technician
6;Electrician;Electrician;Electrician or Engineer
7;Mechanic;Mechanic;Mechanic
7;Mechanic;Mechanic;Mechanic
7;Mechanic;Mechanic;Mechanic
7;Mechanic;Mechanic;Mechanic
7;Mechanic;Mechanic;Mechanic
7;Mechanic;Mechanic;Mechanic
7;Mechanic;Mechanic;Mechanic
7;Mechanic;Mechanic;Mechanic
7;Mechanic;Mechanic;Mechanic
7;Mechanic;Mechanic;Mechanic
8;Technician;IT Professional;Network Engineer
8;Technician;IT Professional;IT professional or Network engineer.
8;Technician;IT professional;Network Engineer or System Administrator
